iucn_cat,puid
Not Reported,1386
Not Reported,1387
Not Reported,1388
Not Reported,1389
Not Reported,1390
Not Reported,1391
Not Reported,1392
Not Reported,1393
Not Reported,1394
Not Reported,1395
Not Reported,1396
Not Reported,1511
Not Reported,1512
Not Reported,1513
Not Reported,1514
Not Reported,1515
Not Reported,1516
Not Reported,1517
Not Reported,1518
Not Reported,1519
Not Reported,1520
Not Reported,1521
Not Reported,1522
Not Reported,1523
Not Reported,1524
Not Reported,1525
Not Reported,1526
Not Reported,1527
Not Reported,1528
Not Reported,1532
Not Reported,1533
Not Reported,1534
Not Reported,1535
Not Reported,1536
Not Reported,1537
Not Reported,1538
Not Reported,1539
Not Reported,1540
Not Reported,1541
Not Reported,1542
Not Reported,1543
Not Reported,1544
Not Reported,1545
Not Reported,1661
Not Reported,1662
Not Reported,1663
Not Reported,1664
Not Reported,1665
Not Reported,1666
Not Reported,1667
Not Reported,1668
Not Reported,1669
Not Reported,1670
Not Reported,1671
Not Reported,1672
Not Reported,1673
Not Reported,1674
Not Reported,1675
Not Reported,1676
Not Reported,1677
Not Reported,1678
Not Reported,1679
Not Reported,1680
Not Reported,1681
Not Reported,1682
Not Reported,1683
Not Reported,1684
Not Reported,1685
Not Reported,1686
Not Reported,1687
Not Reported,1688
Not Reported,1689
Not Reported,1690
Not Reported,1691
Not Reported,1692
Not Reported,1693
Not Reported,1694
Not Reported,1811
Not Reported,1812
Not Reported,1813
Not Reported,1814
Not Reported,1815
Not Reported,1816
Not Reported,1817
Not Reported,1818
Not Reported,1819
Not Reported,1820
Not Reported,1821
Not Reported,1822
Not Reported,1823
Not Reported,1824
Not Reported,1825
Not Reported,1826
Not Reported,1827
Not Reported,1828
Not Reported,1829
Not Reported,1830
Not Reported,1831
Not Reported,1832
Not Reported,1833
Not Reported,1834
Not Reported,1835
Not Reported,1836
Not Reported,1837
Not Reported,1838
Not Reported,1839
Not Reported,1840
Not Reported,1841
Not Reported,1842
Not Reported,1843
Not Reported,1962
Not Reported,1963
Not Reported,1964
Not Reported,1965
Not Reported,1966
Not Reported,1967
Not Reported,1968
Not Reported,1969
Not Reported,1970
Not Reported,1971
Not Reported,1972
Not Reported,1973
