id,cost
77833,8955
77834,7456
77835,39226
77836,39330
77838,21754
77839,7470
77840,2993
77842,100
77843,3682
77844,15452
77845,18667
77846,1439
77847,713
77848,33860
77849,1296
77850,165
77851,1299
77852,928
77857,228
77858,1776
77872,27992
77873,22212
77874,26252
77875,55050
77876,49062
77878,5508
77879,23579
77880,29910
77881,9897
77891,5198
77892,6713
77934,102
78005,14462
78006,218201
78007,354739
78017,12506
78018,1450
78023,151
78037,20498
78038,352446
78039,191309
78070,248087
78071,404337
78073,226853
78074,347206
78075,31575
78076,22066
78077,38077
78105,2980
78126,3474
78127,692
78128,307
78131,518
78136,335
78137,1091
78138,428
78139,578
78140,170
78141,2265
78142,1614
78143,4528
78144,1608
78145,7256
78146,12540
78147,12691
78148,13052
78149,22356
78150,8609
78151,11269
78152,62248
78153,353143
78154,511159
78155,283257
78156,106836
78157,179667
78158,98841
78226,2291
78228,1610
78231,242
78232,4163
78233,40823
78234,307916
78235,185241
78236,76792
78237,16418
78252,3447
78253,22700
78254,27511
78255,30963
78256,76087
78257,2848
78264,254
78265,16375
78267,133662
78268,16898
78619,2995
78620,16408
78621,20965
78622,8608
78623,867
78624,467
78628,10227
78629,11147
78630,4451
78631,21645
78632,13058
78633,2248
78634,679
78639,16126
78640,84066
78641,100
78643,1520
78644,105
78645,602
78646,2499
78654,3566
78659,27365
78666,136915
78667,83865
78668,174418
78669,195063
78670,113429
78671,183
78672,3694
78673,9230
78674,15020
78675,21676
78676,98490
78677,52914
78678,1125
78680,2425
78681,558
78682,661
78688,56648
78689,100
78692,13398
78694,843
78695,57973
78696,19020
78697,32870
78698,30178
78700,14968
78701,69726
78702,53629
78703,49606
78704,82214
78714,28985
78715,64566
78716,91287
78717,3405
78718,168
78720,4041
78721,21973
78722,4724
78723,15534
78724,7539
78725,23447
78726,16345
78727,7753
78729,69026
78730,223130
78731,48396
78732,6629
78733,100
78734,6557
78735,3109
78736,11631
78737,20145
78738,30882
78739,92409
78740,10596
78742,108
78743,5924
78744,9511
78745,11829
78746,17765
78747,11421
78748,9708
78749,1070
78750,4220
78751,8934
78752,10057
78753,11380
78754,607
78755,190
78756,2218
78767,2890
78768,15857
78769,5370
78772,2136
78773,12118
78774,5637
78775,19020
78776,9976
78777,17856
78778,18247
78779,3206
78783,9148
78784,33372
78819,101
78821,164
78895,38479
78896,283861
78899,285654
78900,283705
78901,67549
78902,33540
78903,25067
78905,17528
78906,47387
78907,142706
78908,375531
78909,224653
78910,44206
78912,81194
78913,262842
78914,42073
78927,101
78928,45046
78929,122773
78930,11314
78931,185
78960,346290
78961,314889
78962,180208
78964,223507
78965,16155
78966,26663
78967,2955
78968,18301
78995,2300
78996,467
79017,9867
79019,1091
79023,577
79024,7737
79025,17821
79026,7885
79027,1785
79028,757
79029,590
79030,427
79031,472
79032,179
79033,2814
79034,10712
79035,2593
79036,9865
79037,5336
79038,3408
79039,19562
79040,41983
79041,6124
79042,8176
79043,23096
79044,153438
79045,513280
79046,622023
79047,43270
79048,25357
79049,27947
79118,45391
79119,8017
79121,10148
79122,2723
79123,2020
79124,32757
79125,254619
79126,107068
79127,87581
79142,2028
79143,16257
79144,20761
79145,40865
79146,97199
79147,23863
79154,1991
79155,8682
79157,113810
79158,91079
79180,80012
79181,30235
79501,2467
79502,1887
79505,1375
79506,6580
79507,9659
79508,11403
79509,14284
79510,10535
79513,2532
79514,4022
79515,2046
79516,830
79519,5969
79520,14999
79521,12288
79530,6168
79531,25949
79533,291
79535,114
79545,1655
79546,3182
79549,10110
79550,72741
79551,23228
79557,63215
79558,48695
79561,66115
79562,14311
79563,893
79565,1085
79566,15415
