id,cost,status
60884,13157,2
60885,11436,2
60886,1342,0
60887,5365,0
60888,31885,0
60889,49608,0
60890,77489,0
60891,44895,0
60919,3278,0
60920,59794,0
60921,130138,0
60922,35469,0
60926,100,0
60927,1900,2
60928,104660,0
60929,106967,0
60930,48951,0
60931,3434,0
61129,100,0
61130,107,0
61131,104,0
61167,417,0
61168,122721,0
61169,12650,0
61194,13334,0
61195,19442,0
61196,127704,0
61197,22567,0
61198,22912,0
61199,80657,0
61200,121,0
61201,18305,0
61202,25287,0
61203,13461,0
61204,2458,0
61205,2339,0
61206,2923,0
61207,4783,0
61208,3202,0
61209,100,0
61210,101,0
61221,145,0
61222,1717,0
61223,90305,0
61224,1981,0
61225,8658,0
61226,41324,0
61227,74773,0
61228,18017,2
61229,3114,0
61230,36879,0
61237,30036,0
61342,1506,0
61343,3856,0
61344,5010,0
61345,4809,0
61347,57534,0
61348,19179,0
61350,88022,0
61396,124804,0
61397,157923,0
61398,256623,0
61399,14393,0
61774,12429,0
61775,4011,0
61782,35786,0
61783,152212,2
61811,34244,0
61812,55427,0
61813,31076,2
61814,58767,0
61815,58749,2
61816,100,0
61817,100,0
61819,15294,0
61820,210018,0
61821,98949,2
61822,20725,0
61823,5314,0
61824,1141,0
62020,52470,0
62021,154166,0
62022,51292,0
62058,18053,0
62059,579178,0
62060,359004,0
62082,97517,0
62083,11887,0
62084,218549,0
62085,303248,0
62086,58376,0
62087,18796,0
62088,27195,0
62089,13675,0
62090,118,0
62091,122,0
62092,337,0
62093,223,0
62094,189,0
62109,474,0
62111,132,0
62118,1086,0
62119,1096,0
62120,3948,0
62121,33023,0
62122,4040,0
62237,14539,0
62238,36917,0
62240,13969,0
62241,48490,0
62282,3557,0
62283,7732,0
62288,46383,0
62664,10329,0
62665,10222,0
62674,248801,0
62704,34921,0
62705,98543,0
62706,129747,0
62707,19750,0
62708,100,0
62715,7885,0
62716,604,0
62909,8258,0
62910,59506,0
62911,120884,0
62912,50806,0
62913,4847,0
62915,6841,0
62919,68586,0
62920,41137,0
62921,3417,0
62922,18501,0
